,phrase,prompt,phrase_length,phrase_num_words,mean_word_len,phrase_non_stopwords,cleaned_phrase
0,When I remember her I feel down,Emotional pain,31,7,3.5714285714285716,5,remember feel
1,When I carry heavy things I feel like breaking my back,Hair falling out,54,11,4.0,9,carry heavy thing feel like breaking
2,there is too much pain when i move my arm,Heart hurts,41,10,3.2,2,pain arm
3,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,103,22,3.727272727272727,11,son lip pierced swollen skin inside lip grey look infected
4,My muscles in my lower back are aching,Infected wound,38,8,3.875,4,muscle lower aching
5,"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache,65,15,3.4,7,muscle pain muscle pain leg
6,I have muscle pain in my left leg,Shoulder pain,33,8,3.25,5,muscle pain left leg
7,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports,107,22,3.909090909090909,11,cut finger playing football apply pain relief cream help
8,I have acne in my face and other problems in my derma like itching,Skin issue,66,14,3.7857142857142856,7,acne face problem derma like itching
9,I have a strange rash on my arm,Foot ache,31,8,3.0,4,strange rash arm
10,I have a sharp pain in my lower stomach.,Stomach ache,40,9,3.5555555555555554,5,sharp pain lower stomach
11,i have a knee pain when i walk a lot,Knee pain,36,10,2.7,4,knee pain walk lot
12,dr. I feel a strange and powerful pain inside my rib cage,Heart hurts,57,12,3.8333333333333335,9,feel strange powerful pain inside rib cage
13,Don't cry,Joint pain,9,2,4.0,2,cry
14,I have for dia,Heart hurts,14,4,2.75,2,dia
15,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,111,25,3.48,11,breath going dozen stair struggle breath sit
16,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,83,16,4.25,8,feel hard breath specially running making effort
17,I read a book for along time and when I finished reading I feel head ache,Head ache,73,16,3.625,11,read book time finished reading feel head ache
18,i cant sleep because of cold,Injury from sports,28,6,3.8333333333333335,3,cant sleep cold
19,My infected wound cause fever,Skin issue,29,5,5.0,5,infected wound cause fever
20,I lose a lot of my hair,Body feels weak,23,7,2.4285714285714284,4,lose lot hair
21,i feel dizzy after severe diarrhea,Feeling dizzy,34,6,4.833333333333333,4,feel dizzy severe diarrhea
22,I feel a pain in my back,Back pain,24,7,2.5714285714285716,3,feel pain
23,"Laceration, rupture or opening in the skin",Open wound,42,7,5.142857142857143,4,laceration rupture opening skin
24,My back hurts me and i can't bend it or walk,Back pain,44,11,3.090909090909091,5,hurt bend walk
25,My head hurts whenever I try to do something.,Head ache,45,9,4.111111111111111,6,head hurt try
26,I have dark spots on my skin,Skin issue,28,7,3.142857142857143,4,dark spot skin
27,I feel a sharp pain in my stomach,Internal pain,33,8,3.25,5,feel sharp pain stomach
28,I can't do anything I feel a weak in my body,Body feels weak,44,11,3.090909090909091,6,feel weak body
29,I have cloudy eyes,Blurry vision,18,4,3.75,3,cloudy eye
30,I have a back pain since I turned 70 years old.,Back pain,47,11,3.3636363636363638,7,pain turned year old
31,I tried to put my glasses to see more clear but cant find any change,Blurry vision,68,15,3.6,7,tried glass clear cant find change
32,I feel deep Tingling when I touch Acne followed by bad sensation,Acne,64,12,4.416666666666667,10,feel deep tingling touch acne followed bad sensation
33,My acne gets worse when it is hot,Acne,33,8,3.25,5,acne get worse hot
34,Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,67,13,4.230769230769231,8,feel like claw chest leaf breathless
35,my abdominal muscles have great pain since i was at GYM,Muscle pain,55,11,4.090909090909091,5,abdominal muscle great pain gym
36,My back got injured while i was lifting at the gym,Injury from sports,50,11,3.6363636363636362,5,got injured lifting gym
37,my ankle is hurting me,Joint pain,22,5,3.6,2,ankle hurting
38,I think my wound is infected,Infected wound,28,6,3.8333333333333335,4,think wound infected
39,i feel pain in my knee,Knee pain,22,6,2.8333333333333335,3,feel pain knee
